구별,CCTV댓수,최근증가율,기간,세대,인구수,남자,여자,내국인,남자.1,여자.1,외국인,남자.2,여자.2,세대당인구,고령자,외국인비율,고령자비율
종로구,1715,20.689655172413794,2021,73494,153789,74186,79603,144683,70183,74500,9106,4003,5103,1.97,27818,0.059210996885342905,0.18088419847973522
중구,2447,78.98423817863399,2021,63519,131787,64083,67704,122499,59630,62869,9288,4453,4835,1.93,24392,0.07047736119647613,0.18508654116111603
용산구,2611,78.63568215892055,2021,111036,237285,115085,122200,222953,107210,115743,14332,7875,6457,2.01,39070,0.060399940999220345,0.16465431864635355
성동구,3829,63.48547717842323,2021,134233,292672,142259,150413,285990,139380,146610,6682,2879,3803,2.13,46380,0.022831019024710256,0.1584709162475399
광진구,3211,112.29235880398672,2021,167949,352627,169317,183310,339996,164058,175938,12631,5259,7372,2.02,51723,0.0358197188530657,0.14667906881775927
동대문구,2628,36.33276740237691,2021,168219,352006,172162,179844,337400,166646,170754,14606,5516,9090,2.01,62211,0.04149361090435959,0.17673278296392675
중랑구,3737,190.547703180212,2021,185712,391885,192903,198982,387350,191112,196238,4535,1791,2744,2.09,71682,0.011572272477895301,0.18291590645214795
성북구,4602,77.58037225042301,2021,195017,440142,211150,228992,430528,207578,222950,9614,3572,6042,2.21,74709,0.021842950684097404,0.16973840260643155
강북구,3090,429.29292929292933,2021,144536,302563,146984,155579,299182,145705,153477,3381,1279,2102,2.07,64333,0.01117453224617683,0.21262679177559715
도봉구,1930,85.43689320388349,2021,138656,319373,155221,164152,317366,154487,162879,2007,734,1273,2.29,64160,0.006284188081021251,0.20089362594834254
노원구,2492,68.47181008902076,2021,217378,514946,247813,267133,510956,246053,264903,3990,1760,2230,2.35,88345,0.007748385267581455,0.17156167831190067
은평구,4131,117.85714285714286,2021,214711,477173,228024,249149,473307,226458,246849,3866,1566,2300,2.2,87241,0.008101883384013764,0.1828288691941916
서대문구,3055,49.79612640163099,2021,143647,315659,149507,166152,304819,145694,159125,10840,3813,7027,2.12,54268,0.03434085516332498,0.17191969815528782
마포구,2496,95.41734860883797,2021,179861,378686,177233,201453,368905,173504,195401,9781,3729,6052,2.05,54582,0.025828786910527455,0.14413524661592983
양천구,3650,83.80044843049326,2021,181404,450487,220537,229950,447302,219214,228088,3185,1323,1862,2.47,68627,0.007070126329949588,0.15233957916654642
강서구,2744,79.11439114391145,2021,271175,579768,278720,301048,574315,276292,298023,5453,2428,3025,2.12,92558,0.009405486332464021,0.15964661726759669
구로구,4608,48.831263696128566,2021,180929,421163,208873,212290,396754,195537,201217,24409,13336,11073,2.19,72611,0.0579561832354694,0.17240593309478752
금천구,2411,150.3177966101695,2021,117595,244891,124110,120781,230811,116527,114284,14080,7583,6497,1.96,41041,0.05749496714864981,0.1675888456496972
영등포구,4056,105.38922155688624,2021,187020,400908,198740,202168,376837,185926,190911,24071,12814,11257,2.01,62516,0.06004120646133278,0.15593602522274436
동작구,2306,83.61445783132531,2021,184812,394364,190241,204123,385483,186426,199057,8881,3815,5066,2.09,66613,0.022519804038908218,0.16891247679808502
관악구,5149,48.29459704195593,2021,276597,499449,250058,249391,485699,243991,241708,13750,6067,7683,1.76,79871,0.027530338432953116,0.15991822988933804
서초구,4082,50.877192982456144,2021,170244,416167,198914,217253,412279,197034,215245,3888,1880,2008,2.42,60678,0.009342403410169476,0.14580204581333936
강남구,6871,63.24171590033393,2021,234233,537800,257280,280520,533042,255047,277995,4758,2233,2525,2.28,78226,0.00884715507623652,0.14545555968761623
송파구,2897,204.30939226519337,2021,282417,663965,319895,344070,658338,317346,340992,5627,2549,3078,2.33,97691,0.008474844306552303,0.14713275549162982
강동구,2809,112.25,2021,201613,466472,228682,237790,462664,227002,235662,3808,1680,2128,2.29,74070,0.008163405306213449,0.15878766571198272
